id,image_name,MAE_value,pixel_count,cropmark_median,cropmark_min,cropmark_max,cropmark_std,percentile_rank,min_max_rank,layer_valid_pixels,layer_mean,layer_median,layer_min,layer_p90,layer_p95,layer_max,layer_std,stats_source,cropmark,replant_2024,is_detected_with_natural_color,comments,derived_product_name,replant_2025
3,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,13.058069229125977,320,13.061816215515137,12.322257041931152,13.580113410949707,0.22535212337970734,0.8648275140370931,0.46611613853304984,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
4,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.516295433044434,440,11.41076946258545,11.081485748291016,12.620031356811523,0.3647044003009796,0.2478587715826828,0.2501814331995004,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,0
5,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.287688255310059,208,11.284786224365234,11.146064758300781,11.385673522949219,0.054887399077415466,0.13243417072717747,0.21816362119188487,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
6,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.810358047485352,591,11.806711196899414,10.916895866394043,13.023401260375977,0.6849349737167358,0.40991143715021083,0.29136667331727606,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
7,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.721452713012695,98,11.73628044128418,11.571832656860352,11.8154935836792,0.07366122305393219,0.3627292238235139,0.2789149458000973,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,1
8,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.824907302856445,92,11.852790832519531,11.592504501342773,11.889322280883789,0.07275353372097015,0.41746902571513,0.2934043841535637,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,1
9,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.546453475952148,284,11.579879760742188,11.324697494506836,11.742679595947266,0.125335231423378,0.26482979981481136,0.2544052487327938,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,SR,0
10,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.474946022033691,70,11.476604461669922,11.419557571411133,11.565506935119629,0.030741825699806213,0.22513764731231095,0.24439019916438248,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,NDSI,0
11,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.494211196899414,21,11.491315841674805,11.471288681030273,11.527634620666504,0.01689954288303852,0.2356405345298455,0.24708840292708872,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,NDSI,0
12,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.804245948791504,171,11.849616050720215,11.372153282165527,12.091014862060547,0.20047830045223236,0.40673340740666625,0.29051063708564473,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,0,,MTVI,0
13,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.51420783996582,109,11.558757781982422,11.234233856201172,11.64676284790039,0.12555953860282898,0.24670247883008958,0.24988905321650137,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,0,,PCA_COMB22,0
14,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.4017915725708,30,11.402158737182617,11.359800338745117,11.451509475708008,0.026179464533925056,0.18650370533426602,0.23414447795109247,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,0,,TCARI_OSAVI,0
15,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.428170204162598,287,11.492560386657715,11.140056610107422,11.640832901000977,0.13570672273635864,0.20020001571581097,0.23783896416843098,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
16,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,12.767967224121094,130,12.77138614654541,12.66636848449707,12.837194442749023,0.0358174592256546,0.7928540663513639,0.42548560561920074,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Invented,,0
17,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,11.854039192199707,478,11.839251518249512,11.379880905151367,12.283171653747559,0.21552735567092896,0.43249464508646596,0.297484480700239,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Follow crop,,0
18,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,12.526031494140625,83,12.534287452697754,12.448871612548828,12.573931694030762,0.03168369457125664,0.7174903630289889,0.39160104959952724,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Invented,,0
19,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_highboost_mae.tif,12.768059730529785,111,12.705658912658691,12.617513656616211,13.042967796325684,0.12340237200260162,0.7928789136555309,0.42549856169884936,68860589,12.12,11.99,9.73,13.24,13.59,16.87,0.8,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,,Tractor,,0
1,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.674317359924316,98,12.659255981445312,12.559539794921875,12.836475372314453,0.10113416612148285,0.6321800268074965,0.313669182597727,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,0,0,0,,,0
2,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.735529899597168,306,12.760618209838867,12.548710823059082,12.860281944274902,0.10771267861127853,0.6646340042197432,0.32254056515900986,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,0
3,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,14.063425064086914,320,13.933483123779297,13.575884819030762,14.597753524780273,0.33923250436782837,0.9567109714963373,0.5149891397227412,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,1,1,,,0
4,17MAY29064346-M2AS-015105921010_01_P001_DOS3_bayes_laplacian_mae.tif,12.716798782348633,440,12.71735954284668,12.478988647460938,13.140012741088867,0.14142996072769165,0.6551179949971093,0.3198259104853091,68860589,12.63,12.48,10.51,13.66,14.01,17.41,0.68,C:\IRANZO\uzbekistan\zar_tepe\Ortoimagenes\Satelite\WV3\015105921010_01\HIGHPASS\mae_saliency\mae_stats.csv,1,0,1,,,0
